gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,cliente_id,y_true,probabilidad,test_row_idx,nivel_riesgo,top_3_motivos,motivo_principal
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,1820-TQVEV,1,0.972628837053969,341,ALTO,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Antigüedad
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,8375-DKEBR,1,0.9709821597448499,1289,ALTO,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Antigüedad
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05,1069-XAIEM,1,0.9704765119515935,1109,ALTO,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Antigüedad
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,76.45,9248-OJYKK,1,0.9687614677291998,618,ALTO,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Antigüedad
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,9804-ICWBG,1,0.967573327728144,1252,ALTO,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Antigüedad
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,5542-TBBWB,0,0.967573327728144,629,ALTO,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Antigüedad
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.05,186.05,2545-EBUPK,0,0.965861622493919,889,ALTO,Antigüedad | Tipo de contrato: mes a mes | Seguridad en línea: no,Antigüedad
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,95.45,0295-PPHDO,1,0.96243366401686,1221,ALTO,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Antigüedad
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.55,35.55,0841-NULXI,1,0.9594635659418702,1178,ALTO,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Antigüedad
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,701.3,8161-QYMTT,0,0.9577877822571037,995,ALTO,Servicio de internet: fibra óptica | Antigüedad | Tipo de contrato: mes a mes,Servicio de internet: fibra óptica
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,4750-ZRXIU,1,0.9577590630139747,510,ALTO,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Antigüedad
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,169.8,1143-NMNQJ,1,0.9550360562043952,788,ALTO,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Antigüedad
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,69.1,3716-BDVDB,1,0.953930955918421,740,ALTO,Antigüedad | Cargo acumulado | Tipo de contrato: mes a mes,Antigüedad
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,6861-XWTWQ,1,0.9526559677437912,1175,ALTO,Servicio de internet: fibra óptica | Tipo de contrato: mes a mes | Antigüedad,Servicio de internet: fibra óptica
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.5,79.5,2514-GINMM,1,0.9487959794405647,171,ALTO,Antigüedad | Tipo de contrato: mes a mes | Cargo acumulado,Antigüedad
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,291.9,9057-SIHCH,1,0.9483084088442861,627,ALTO,Antigüedad | Tipo de contrato: mes a mes | Servicio de internet: fibra óptica,Antigüedad
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,0655-RBDUG,1,0.9476857861663048,1188,ALTO,Servicio de internet: fibra óptica | Antigüedad | Tipo de contrato: mes a mes,Servicio de internet: fibra óptica
